feature_typos,feature_normalized_mean_wds_per_sentence,feature_gre_word_freq,feature_addition_word_freq,feature_price_range,feature_emphasis_word_freq,feature_valence_score,feature_details_word_freq,feature_illustration_word_freq,feature_comparision_word_freq,feature_normalized_url_count,feature_contrast_word_freq,feature_arousal_score,feature_all_caps,feature_idf,feature_normalized_mean_wd_length,feature_summary_word_freq,feature_dominance_score,feature_suggestion_word_freq,label_useful_extreme_percentile,feature_space_word_freq,feature_grammar_err,feature_consequence_word_freq,feature_examples_word_freq,feature_concession_word_freq,feature_caps_err,feature_normalized_word_count,feature_time_word_freq,feature_sat_word_freq
1,0.0115044247788,0.0,0.0,0.25,0.0,7.25839002268,0.0,0.0,0.0,0.0,0.0384615384615,5.54253365973,0.0,54.4442658119,0.173076923077,0.0,6.33140439932,0.0,False,0.0,5,0.0,0.0,0.0384615384615,0.192307692308,0.0257425742574,0.0,0.0384615384615
1,0.0176991150442,0.0384615384615,0.0576923076923,0.25,0.0,6.77505668934,0.0,0.0,0.0,0.0,0.0192307692308,5.73753365973,0.0,73.7361528254,0.155325443787,0.0,6.02140439932,0.0,False,0.0,2,0.0,0.0,0.0,0.0,0.10297029703,0.0,0.0192307692308
0,0.0384402654867,0.00719424460432,0.0503597122302,0.5,0.00719424460432,6.82797335601,0.00719424460432,0.0,0.0,0.0,0.0143884892086,5.51503365973,0.00719424460432,75.5154897747,0.162423907028,0.0,5.45182106599,0.0,None,0.0143884892086,0,0.0143884892086,0.0,0.0,0.00719424460432,0.137623762376,0.0,0.0287769784173
8,0.0336006637168,0.0246913580247,0.0452674897119,0.25,0.0082304526749,6.94972335601,0.0082304526749,0.0,0.0,0.0,0.00411522633745,5.56853365973,0.0,75.3864127324,0.162076606521,0.0,6.21507106599,0.0,None,0.0082304526749,0,0.0123456790123,0.0,0.00411522633745,0.0,0.240594059406,0.0082304526749,0.0164609053498
2,0.0346607669617,0.0159574468085,0.0265957446809,0.25,0.0106382978723,6.26922335601,0.0,0.0,0.0,0.0,0.0106382978723,4.44586699306,0.0,74.4938385271,0.155687397709,0.0,5.56890439932,0.0,False,0.0,1,0.0106382978723,0.0,0.0,0.00531914893617,0.186138613861,0.00531914893617,0.0106382978723
4,0.0380530973451,0.0,0.0639534883721,0.5,0.0116279069767,7.05672335601,0.0,0.0,0.0,0.0,0.0174418604651,4.96086699306,0.00581395348837,75.9617768773,0.160554561717,0.0,5.80140439932,0.0,False,0.0,0,0.0290697674419,0.0,0.0,0.00581395348837,0.170297029703,0.0,0.0116279069767
2,0.0280235988201,0.0,0.0263157894737,0.5,0.0263157894737,7.61172335601,0.0,0.0,0.0,0.0,0.0,5.72253365973,0.0,68.013352345,0.144736842105,0.0,6.69807106599,0.0,False,0.0,0,0.0,0.0,0.0,0.0,0.0376237623762,0.0,0.0263157894737
3,0.0506391347099,0.0194174757282,0.0388349514563,0.25,0.00485436893204,6.45005668934,0.0,0.0,0.0,0.0,0.00970873786408,5.40086699306,0.0,75.0612345024,0.1643017177,0.0,5.52695995488,0.0,False,0.0,5,0.00970873786408,0.0,0.00485436893204,0.0145631067961,0.20396039604,0.0145631067961,0.0242718446602
3,0.0345685840708,0.008,0.064,0.5,0.0,7.66553287982,0.0,0.0,0.0,0.0,0.008,5.88777175497,0.064,74.3115169703,0.150153846154,0.0,6.70283297075,0.0,False,0.0,3,0.0,0.0,0.0,0.008,0.123762376238,0.024,0.016
0,0.0298672566372,0.0,0.0,0.25,0.0,7.61172335601,0.0,0.0,0.0,0.0,0.0,5.72253365973,0.0,55.1277262111,0.146723646724,0.0,6.69807106599,0.0,True,0.0,0,0.0,0.0,0.0,0.0,0.0267326732673,0.0740740740741,0.0
